TEXT (BAHASA),TEXT (ENGLISH),DATA STATUS,FIRST ANNOTATOR,SECOND ANNOTATOR
ketika saya sudah berusaha semaksimal mungkin tapi tetap kurang maksimal karena $saya merasa saya tidak begitu baik dan terlalu memaksakan diri$,when I have tried my best but am still not optimal because I feel I am not very good and push myself too much,RAW-ORI,All-or-nothing,All-or-nothing
"Saya ketika SD hingga SMP dulu beranggapan bahwa ketika saya tidak menduduki peringkat 1 di kelas, saya berarti kurang cukup pintar dan akan gagal di masa depan. Ketika itu saya SD kelas 3 hingga kelas 6 mendapat ranking 1 di kelas tanpa celah, hingga ketika SMP saya bersaing ketat dengan teman sekelas dan teman lain kelas saya. Ketika SMP, saya mulai merasakan rasa sakit ketika mendapati bahwa ternyata faktanya ada orang lain yang lebih pintar daripada saya dan lebih layak untuk mendapat juara 1 umum di sekolah dibanding saya. Tetapi kala itu ego saya sangat tinggi, ketika saya tidak mendapati juara 1 lagi, saya langsung memandang orang tersebut (yang mendapat juara 1) dengan cukup buruk, saya tidak mencoba bergaul dengan orang tersebut, saya membenci sosoknya, saya ikut menghindar dengan semua teman yang dekat dengannya. Kala itu saya masih belum menerima bahwa tidak berada di puncak bukan berarti akhir dari segalanya. Dan ketika orang lain sukses bukan berarti saya akan gagal, dan ketika itu terjadi, bukan berarti pula saya harus membenci orang yang bersangkutan pada hal yang bukan kendali saya.","When I was in elementary school to middle school, I used to think that if I didn't rank 1st in class, it meant I wasn't smart enough and would fail in the future. At that time, I was in elementary school in grades 3 to 6, ranking 1st in the class without any gaps, until when I was in junior high school I competed fiercely with my classmates and other friends in my class. When I was in junior high school, I started to feel pain when I discovered that in fact there were other people who were smarter than me and more deserving of getting first place overall at school than me. But at that time my ego was very high, when I didn't get 1st place anymore, I immediately looked at the person (who got 1st place) quite badly, I didn't try to hang out with that person, I hated his figure, I avoided all the friends who were close to him. At that time I still hadn't accepted that not being at the top didn't mean the end of everything. And when other people succeed doesn't mean I will fail, and when that happens, it doesn't mean I have to hate the person concerned for things that are not in my control.",RAW-ORI,All-or-nothing,All-or-nothing
Saya berfikir jika tidak lolos MBKM maka masa depan saya akan suram. Untungnya saya lolos MBKM.,I thought that if I didn't pass MBKM then my future would be bleak. Luckily I passed MBKM.,RAW-ORI,All-or-nothing,All-or-nothing
"Di desa saya dulu ada dua kelompok pertemanan, nah saya berada di salah satunya. Saat itu saya menganggap bahwa klp lain itu buruk dan lain sebagainya. Memang saat itu kami agak tidak akur","In my village there were two friendship groups, so I was in one of them. At that time I thought that other KLPs were bad and so on. It's true that at that time we didn't get along a bit",RAW-ORI,All-or-nothing,All-or-nothing
Saya hanya berteman dengan orang yang tidak menyakiti saya dalam bertutur kata.,I only make friends with people who don't hurt me with their words.,RAW-ORI,All-or-nothing,All-or-nothing
Ketika aku mengikuti lomba dimana aku mengharapkan juara 1 atau tidak sama sekali.,When I take part in a competition where I expect to win 1st place or not at all.,RAW-ORI,All-or-nothing,All-or-nothing
"pernah waktu SD-SMP, saya merasa kalo saya dapet ranking 2, saya gagal. Kalo ranking 1, baru berhasil","When I was in elementary school and junior high school, I felt that if I got rank 2, I would fail. If I got rank 1, I would succeed.",RAW-ORI,All-or-nothing,All-or-nothing
"Saya pernah tidak mendapatkan juara dalam sebuah lomba, saya sangat kecewa karena tidak mendapatkan juara. Saya hanya melihat secara ekstrim juara atau tidak","I once didn't win a competition, I was very disappointed because I didn't win. I just look at the extreme of winning or not",RAW-ORI,All-or-nothing,All-or-nothing
"Ketika berpacaran, saya hanya berpikiran bahwa selama masih pacaran berarti masih ada hubungan apabila sudah usai hubungan tersebut maka sudah tidak perlu saling berkomunikasi","When I was dating, I just thought that as long as I was still dating, it meant there was still a relationship. When the relationship was over, there was no need to communicate with each other.",RAW-ORI,All-or-nothing,All-or-nothing
Saya pernah mengikuti suatu kompetisi untuk memperebutkan juara 3 besar. Namun saat itu dari sekian banyak peserta saha hanya berhasil menjadi finalis dan bukan juara. Saat itu saya merasa tidak puas dan merasa gagal karena tidak bisa menempati 3 besar,"I once took part in a competition to compete for the top 3 winners. However, at that time, of the many participants, only managed to become a finalist and not a champion. At that time I felt dissatisfied and felt like a failure because I couldn't finish in the top 3",RAW-ORI,All-or-nothing,All-or-nothing
"Saya pernah mencoba untuk menjalin hubungan dengan seseorang,yang dimana kita sebelum nya pernah dekat dan merasa satu sama lain cocok. Hingga suatu ketika seseorang ini tiba tiba menghilang dan tidak ada kabar yang membuat saya heran dan tidak seperti biasanya juga dia seperti ini, lantas beberapa hari kemudian saya melihat dia kembali lagi dengan mantan nya. Disana saya merasa kecewa,kalau tau begini akhir nya lebih baik saya tidak menjalin hubungan dengan orang ini dari awal dan ini juga membuat saya tidak berani untuk menjalin suatu hubungan.","I once tried to have a relationship with someone, where we had previously been close and felt that we were compatible with each other. Until one day this person suddenly disappeared and there was no news which made me surprised and it wasn't normal for him to be like this, then a few days later I saw him back again with his ex. There I felt disappointed, if I knew this would end it would be better for me not to have a relationship with this person in the first place and this also made me not dare to have a relationship.",RAW-ORI,All-or-nothing,All-or-nothing
"Pada saat SMA saya pernah berfikir menjadi siswa yang namanya terdaftar pada eligibel di SMA merupakan suatu pencapaian yg terbaik pada saat SMA tetapi saya juga merasa telah gagal saat tidak termasuk dalam daftar tersebut,tetapi itu bukan lah akhir untuk mencari cara masuk perguruan tinggi","When I was in high school, I once thought that being a student whose name was listed as eligible for high school was the best achievement in high school, but I also felt like I had failed when I was not included in that list, but that was not the end of finding a way to enter college.",RAW-ORI,All-or-nothing,All-or-nothing
"Tentu saja, sebagai seseorang yang straighforward, ini sering kaki terjadi kepada saya. Salah satu kejadian itu adalah ketika saya melakukan olahraga rutin, saya tidak akan melakukan olahraga yang hanya setengah-setengah kerjakan sampai penuh, apabila waktu hanya cukup untuk melakukan setengah, maka saya tidak akan olahraga.","Of course, as a straight forward person, this often happens to me. One of those incidents is when I do regular exercise, I will not do an exercise that is only half done until full, if the time is only enough to do half, then I will not exercise.",RAW-ORI,All-or-nothing,All-or-nothing
Saya mendapatkan nilai B dalam salah satu mata kuliah di Informatima. Dan saya sangat kecewa karena bukan mendapat nilai A. Saya melihat kesuksesan dalam ujian seperti “saya mendapat nilai memuaskan atau mendapat kegagalan”,"I got a B grade in one of the courses at Informatima. And I was very disappointed because I didn't get an A. I looked at success in the exam like ""I either got a satisfactory score or I failed""",RAW-ORI,All-or-nothing,All-or-nothing
Saya hanya ingin berteman dengan orang yang memberikan saya keuntungan,I only want to be friends with people who give me benefits,RAW-ORI,All-or-nothing,All-or-nothing
"pernah teman saya saat dia mengingikan berangkat ke suatu tempat dia mengajak beberapa orang, $namun saat salah satu orang berhalangan, dia menganggap orang tersebut bukan seperti temannya sendiri$","My friend once wanted to go somewhere and he invited several people, but when one of the people was unable to go, he thought that the person was not like his own friend.",RAW-ORI,All-or-nothing,All-or-nothing
$Ak berpikir kalau gagal mendapatkannya(pacar) maka lebih baik tidak berpcaran dengan siapaun dlu$,$I think if I fail to get him (a girlfriend) then it's better not to date anyone first$,RAW-ORI,All-or-nothing,All-or-nothing
"saya bertengkar dengan teman saya karena pacarnya, namun disaat itu dia tidak bisa bergerak atau membela siapapun meskipun teman saya tau semuanya salah paham, saya memutuskan $jika dia tidak sama sekali membela saya, maka saya akan memutuskan segala komunikasi kepadanya$","I quarreled with my friend because of his girlfriend, but at that time he couldn't move or defend anyone even though my friend knew everything was a misunderstanding, I decided $ if he doesn't defend me at all, then I will cut off all communication with him $",RAW-ORI,All-or-nothing,All-or-nothing
"Ketika pengumuman SNMPTN tahun kemarin saya merasa sangat sedih karena tidak bisa diterima di prodi impian saya, yang mana saya juga sudah berusaha untuk mengejarnya lagi ketika Ujian SBMPTN. Namun takdir berkata lain, karena $saya mengira dengan saya masuk prodi tersebut, ""kemampuan dan juga harapan orang tua saya telah gagal atau tidak dapat tercapai"".$","When the SNMPTN was announced last year, I felt very sad because I couldn't be accepted into my dream study program, which I had also tried to pursue again during the SBMPTN exam. However, fate said differently, because I thought that by entering this study program, ""my parents' abilities and hopes had failed or could not be achieved.""",RAW-ORI,All-or-nothing,All-or-nothing
Saya me dapatkan nilai 79 dalam masa pendidikan SMA. Saya sangat kecewa karena tidak mendapatkan nilai diatas 80. Dan $saya lebih meyakini jika jika nilai yang rendah akan menandakan tidak bisa sukses di kemudian harinya.$,I got a score of 79 in high school. I was very disappointed because I didn't get a score above 80. And I believe that a low score will indicate that I won't be successful in the future.,RAW-ORI,All-or-nothing,All-or-nothing
